Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C9",0603,3,10u,
"C10, C11",0603,2,3p3,
"C12, C15, C17, C18, C19, C2, C4, C5, C6, C7, C8",0603,11,100n,
"C13, C14",0603,2,10p,
C16,0603,1,1u,
"C21, C23, C25",0603,3,10uF,
"C22, C24, C26",0603,3,100nF,
D1,CD214A-B240LR,1,CD214A-B240LR,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,MountingHole_Pad,
IC1,SON40P200X200X80-11N,1,TPS22953DSQR,
IC2,QFN50P500X500X90-33N-D,1,ESP32-C3FH4,
IC4,SOP65P640X120-16N,1,CD40109BPWR,
IC5,SOT65P210X110-5N,1,SN74LV1T04DCKRG4,
"IC6, IC7, IC8",SOT95P280X145-5N,3,UCC27519DBVR,
J1,23370191,1,2337019-1,
J11,TerminalBlock_bornier-14_P5.08mm,1,Screw_Terminal_01x14,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J4,TerminalBlock_bornier-6_P5.08mm,1,Screw_Terminal_01x06,
J6,PinHeader_1x03_P2.54mm_Vertical,1,V SEL LS,
"JP1, JP2, JP3, JP4, JP5, JP6",PinHeader_1x02_P2.54mm_Vertical,6,Jumper_2_Open,
"L1, L2, L3",0603,3,2n2,
"Q2, Q3, Q4",BUK7D2540EX,3,BUK7D25-40EX,
"R1, R12, R14, R16",0603,4,10k,
"R10, R5, R6, R9",0603,4,5k1,
R11,0603,1,22,
"R13, R15, R8",1206,3,1.5,
R2,0603,1,100k,
R3,0603,1,20k,
R4,0603,1,15k,
R7,0603,1,22k,
"SW1, SW2",PTS636SP50SMTRLFS,2,PTS636 SP50,
U2,SOT-23-5,1,AP2112K-3.3,
U3,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,ECS-400-10-37B2-CKM-TR,
